Date/Time Start,2019-02-20 21:26:14.339696
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,17.0,1883,1.0,1883,0.012159403479670802,0.0,1883
1,7.0,2521,1.0,2521,0.011309758992249848,0.0,2521
2,10.0,3289,1.0,3289,0.011387299116980406,0.0,3289
